,key,city,country,population,latitude,longitude
384,4347778,Baltimore,US,621849,39.29038,-76.61219
385,4348599,Bethesda,US,60858,38.98067,-77.10026
386,5188140,Easton,US,26915,40.68843,-75.22073
387,4355843,Gaithersburg,US,67456,39.14344,-77.20137
388,4356050,Germantown,US,86395,39.17316,-77.27165
389,4363843,North Bethesda,US,43828,39.04455,-77.11887
390,4367175,Rockville,US,66980,39.084,-77.15276
391,4406831,Saint Charles,US,65794,38.78394,-90.48123
392,4369596,Silver Spring,US,71452,38.99067,-77.02609
393,4372599,Waldorf,US,67752,38.62456,-76.93914
394,5339111,Concord,US,128667,37.97798,-122.03107
395,5467328,Farmington,US,42871,36.72806,-108.21869
396,4392768,Joplin,US,51818,37.08423,-94.51328
397,4407066,St. Louis,US,315685,38.62727,-90.19789
398,4412697,University City,US,35058,38.65588,-90.30928
399,4418478,Biloxi,US,45637,30.39603,-88.88531
400,4447161,Starkville,US,25366,33.45049,-88.81961
401,4448903,Tupelo,US,35680,34.25807,-88.70464
402,4460243,Charlotte,US,827097,35.22709,-80.84313
403,4487042,Raleigh,US,451066,35.7721,-78.63861
404,4500942,Bridgeton,US,25031,39.42734,-75.23408
405,4504476,Toms River,US,88791,39.95373,-74.19792
406,4504621,Vineland,US,60818,39.48623,-75.02573
407,4508722,Cincinnati,US,296943,39.12711,-84.51439
408,4509884,Dayton,US,140599,39.75895,-84.19161
409,5387877,Riverside,US,322424,33.95335,-117.39616
410,4529292,Altus,US,19214,34.63813,-99.33398
411,4529469,Ardmore,US,25176,34.17426,-97.14363
412,4552215,Stillwater,US,48967,36.11561,-97.05837
413,4553433,Tulsa,US,403505,36.15398,-95.99277
414,4560349,Philadelphia,US,1567442,39.95233,-75.16379
415,4595864,Simpsonville,US,20736,34.73706,-82.25428
416,4597919,Summerville,US,48848,33.0185,-80.17565
417,5150529,Cleveland,US,388072,41.4995,-81.69541
418,4641239,Memphis,US,655770,35.14953,-90.04898
419,4642938,Morristown,US,29478,36.21398,-83.29489
420,4644585,Nashville,US,530852,36.16589,-86.78444
421,4656585,Sevierville,US,16490,35.86815,-83.56184
422,4669635,Abilene,US,121721,32.44874,-99.73314
423,4671240,Arlington,US,388125,32.73569,-97.10807
424,4671654,Austin,US,931830,30.26715,-97.74306
425,4683416,Corpus Christi,US,324074,27.80058,-97.39638
426,4684888,Dallas,US,1300092,32.78306,-96.80667
427,4691930,Fort Worth,US,833319,32.72541,-97.32085
428,4692559,Frisco,US,154407,33.15067,-96.82361
429,4692883,Galveston,US,50180,29.30135,-94.7977
430,4699066,Houston,US,2296224,29.76328,-95.36327
431,4706057,Lewisville,US,104039,33.04623,-96.99417
432,5007989,Saginaw,US,49347,43.41947,-83.95081
433,4734350,Stephenville,US,20120,32.2207,-98.20226
434,4739526,Waco,US,132356,31.54933,-97.14667
435,4740629,Weslaco,US,39474,26.15952,-97.99084
436,4741752,Wichita Falls,US,104710,33.91371,-98.49339
437,4758023,Fairfax,US,24013,38.84622,-77.30637
438,4766586,Jefferson,US,28487,38.86456,-77.18776
439,4766586,Jefferson,US,28487,38.86456,-77.18776
440,4771401,Manassas,US,41764,38.75095,-77.47527
441,4776222,Norfolk,US,246393,36.84681,-76.28522
442,4788158,Suffolk,US,88161,36.72836,-76.58496
443,4809537,Huntington,US,48638,38.41925,-82.44515
444,4832353,Danbury,US,84657,41.39482,-73.45401
445,4835797,Hartford,US,124006,41.76371,-72.68509
446,4838524,Meriden,US,59988,41.53815,-72.80704
447,4838652,Milford,US,52759,41.22232,-73.0565
448,5377995,Norwalk,US,107140,33.90224,-118.08173
449,5377995,Norwalk,US,107140,33.90224,-118.08173
