key,city,country,population,latitude,longitude,clusters
4696233,Harlingen,US,65774,26.19063,-97.6961,4
1283240,Kathmandu,NP,1442271,27.701690000000003,85.3206,-1
2193733,Auckland,NZ,417910,-36.84853,174.76349,-1
287286,Muscat,OM,797000,23.58413,58.40778,-1
3700563,Tocumen,PA,50844,9.08939,-79.3831,1
3706567,Las Cumbres,PA,69102,9.089160000000001,-79.52809,1
3690654,Yurimaguas,PE,41827,-5.90181,-76.12234000000001,27
4705349,Laredo,US,255473,27.50641,-99.50754,4
3696183,Iquitos,PE,437620,-3.7491199999999996,-73.25383000000001,16
3936456,Lima,PE,7737002,-12.04318,-77.02824,27
3938396,Imperial,PE,32344,-13.05927,-76.35269,27
4033936,Papeete,PF,26357,-17.537329999999997,-149.5665,-1
1679432,Zamboanga,PH,457623,6.91028,122.07388999999999,2
1689056,San Mateo,PH,134327,14.6982,121.1236,2
1691606,Rizal,PH,26201,15.7118,121.1061,2
1692192,Quezon City,PH,2761720,14.6488,121.0509,2
1692214,Quezon,PH,27212,7.7302800000000005,125.09889,-1
1701668,Manila,PH,1600000,14.6042,120.9822,2
1701966,Mandaluyong City,PH,305576,14.5832,121.0409,2
1710770,Indang,PH,41159,14.195279999999999,120.87693999999999,2
1711005,Iloilo,PH,387681,10.69694,122.56443999999999,2
1715348,Davao,PH,1212504,7.073060000000001,125.61278,-1
1720052,Calumpang,PH,15589,14.6228,121.0897,2
1720681,Calamba,PH,316612,14.211670000000002,121.16528000000001,2
1726280,Batangas,PH,237370,13.7567,121.0584,2
1729524,Bacoor,PH,356974,14.458960000000001,120.93851000000001,2
1729564,Bacolod City,PH,454898,10.66667,122.95,2
1730501,Antipolo,PH,549543,14.625779999999999,121.12251,2
7290466,Pasig City,PH,617301,14.586910000000001,121.0614,2
4563008,Caguas,PR,86804,18.23412,-66.0485,-1
1019704,Bethlehem,ZA,83654,-28.23078,28.30707,6
2267057,Lisbon,PT,517802,38.71667,-9.13333,-1
3437547,Pedro Juan Caballero,PY,75109,-22.547220000000003,-55.73333,-1
